,,1,2,3,4,5,6,7,
-,SEB,SEB US Equity,SEABOARD CORP,"3,412,724,992","6,966,000,128",0.61,Consumer Staples,"Food, Beverage & Tobacco",
-,SEDG,SEDG US Equity,SOLAREDGE TECHNO,"10,784,508,928","1,591,848,000",9.03,Information Technology,Semiconductors & Semiconductor Equipment,
-,SEE,SEE US Equity,SEALED AIR CORP,"6,378,065,408","4,842,499,968",16.16,Materials,Materials,
-,MCFT,MCFT US Equity,MASTERCRAFT BOAT,"383,670,176","434,788,000",-46.00,Consumer Discretionary,Consumer Durables & Apparel,
-,SEIC,SEIC US Equity,SEI INVESTMENTS,"7,870,065,664","1,654,887,008",25.04,Financials,Diversified Financials,
-,SEM,SEM US Equity,SELECT MEDICAL,"2,718,252,544","5,415,276,928",9.70,Health Care,Health Care Equipment & Services,
-,SERV,SERV US Equity,SERVICEMASTER GL,"5,465,786,368","2,025,000,000",14.42,Consumer Discretionary,Consumer Services,
-,SF,SF US Equity,STIFEL FINANCIAL,"3,685,683,712","3,687,706,944",15.96,Financials,Diversified Financials,
-,ARA,ARA US Equity,AMERICAN RENAL A,"241,908,032","815,838,000",12.57,Health Care,Health Care Equipment & Services,
-,SFIX,SFIX US Equity,STITCH FIX INC-A,"2,282,572,288","1,700,474,016",-12.39,Consumer Discretionary,Retailing,
-,SFM,SFM US Equity,SPROUTS FARMERS,"2,814,154,496","6,094,539,904",5.65,Consumer Staples,Food & Staples Retailing,
-,CSTE,CSTE US Equity,CAESARSTONE LTD,"375,316,160","502,300,008",-2.93,Industrials,Capital Goods,
-,ADMA,ADMA US Equity,ADMA BIOLOGICS I,"251,278,448","37,246,890",-219.89,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,TYME,TYME US Equity,TYME TECHNOLOGIE,"159,870,944",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PGNY,PGNY US Equity,PROGYNY INC,"2,551,123,712","271,947,000",-2.82,Health Care,Health Care Equipment & Services,
-,DLTH,DLTH US Equity,DULUTH HLDGS - B,"260,817,840","611,296,992",-17.26,Consumer Discretionary,Retailing,
-,SPWH,SPWH US Equity,SPORTSMAN'S WARE,"712,446,272","959,219,008",-0.18,Consumer Discretionary,Retailing,
-,PLAN,PLAN US Equity,ANAPLAN INC,"6,157,685,760","376,036,000",-37.33,Information Technology,Software & Services,
-,TBIO,TBIO US Equity,TRANSLATE BIO IN,"1,075,052,288","30,043,000",-224.47,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GOGO,GOGO US Equity,GOGO INC,"290,067,008","703,607,008",-56.32,Communication Services,Telecommunication Services,
-,MNK,MNK US Equity,MALLINCKRODT,"126,037,560","2,380,899,936",-435.74,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,TRUP,TRUP US Equity,TRUPANION INC,"2,118,935,808","433,980,000",1.28,Financials,Insurance,
-,PTGX,PTGX US Equity,PROTAGONIST THER,"627,198,912","16,724,000",-293.02,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,XERS,XERS US Equity,XERIS PHARMACEUT,"148,086,432","6,002,000",-1095.46,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SGEN,SGEN US Equity,SEATTLE GENETICS,"27,628,922,880","1,015,579,024",-33.80,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SGMS,SGMS US Equity,SCIENTIFIC GAMES,"1,954,713,472","2,982,000,000",-10.39,Consumer Discretionary,Consumer Services,
-,SGRY,SGRY US Equity,SURGERY PARTNERS,"1,026,195,136","1,784,900,000",11.93,Health Care,Health Care Equipment & Services,
-,LXFR,LXFR US Equity,LUXFER HOLDINGS,"419,206,400","399,900,000",5.92,Industrials,Capital Goods,
-,BL,BL US Equity,BLACKLINE INC,"4,229,861,120","321,053,000",-3.99,Information Technology,Software & Services,
-,QTRX,QTRX US Equity,QUANTERIX CORP,"1,072,707,712","59,718,000",-92.92,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PSNL,PSNL US Equity,PERSONALIS INC,"731,191,168","73,963,000",-48.72,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PRNB,PRNB US Equity,PRINCIPIA BIOPHA,"2,900,433,664","50,000,000",19.76,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SILK,SILK US Equity,SILK ROAD MEDICA,"1,746,913,792","69,687,000",-62.23,Health Care,Health Care Equipment & Services,
-,FSCT,FSCT US Equity,FORESCOUT TECHNO,"1,441,649,024","319,982,000",-28.41,Information Technology,Software & Services,
-,KALV,KALV US Equity,KALVISTA PHARMAC,"227,552,112","12,690,000",-234.23,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,XNCR,XNCR US Equity,XENCOR INC,"1,862,111,104","70,750,000",-287.26,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EVFM,EVFM US Equity,EVOFEM BIOSCIENC,"239,776,848",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ITCI,ITCI US Equity,INTRA-CELLULAR T,"1,302,372,992","3,050,728",-3402.45,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ANAB,ANAB US Equity,ANAPTYSBIO INC,"485,457,664","18,000,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ONEM,ONEM US Equity,1LIFE HEALTHCARE,"3,488,321,024","276,257,984",-19.59,Health Care,Health Care Equipment & Services,
-,EIGR,EIGR US Equity,EIGER BIOPHARMAC,"329,860,672",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CHMA,CHMA US Equity,CHIASMA INC,"256,642,144",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VAPO,VAPO US Equity,VAPOTHERM INC,"737,957,184","78,086,000",-19.26,Health Care,Health Care Equipment & Services,
-,GWGH,GWGH US Equity,GWG HOLDINGS INC,"250,424,112","100,616,062",-162.77,Financials,Diversified Financials,
-,SHAK,SHAK US Equity,SHAKE SHACK IN-A,"2,197,552,640","544,153,008",-26.23,Consumer Discretionary,Consumer Services,
-,SHEN,SHEN US Equity,SHENANDOAH TELEC,"2,762,308,864","638,862,992",25.37,Communication Services,Telecommunication Services,
-,SHOO,SHOO US Equity,STEVEN MADDEN,"1,895,020,416","1,418,912,992",-16.60,Consumer Discretionary,Consumer Durables & Apparel,
-,SAGE,SAGE US Equity,SAGE THERAPEUTIC,"2,605,989,888","8,905,000",-12760.97,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
SHW,SHW,SHW US Equity,SHERWIN-WILLIAMS,"61,175,353,344","17,732,750,336",18.27,Materials,Materials,
-,MRNS,MRNS US Equity,MARINUS PHARMACE,"216,284,592",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SLNO,SLNO US Equity,SOLENO THERAPEUT,"143,268,512",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ENVA,ENVA US Equity,ENOVA INTERNATIO,"552,811,712","1,290,088,000",34.20,Financials,Diversified Financials,
-,ACRE,ACRE US Equity,ARES COMMERCIAL,"329,068,672","146,613,000",46.67,Financials,Diversified Financials,
-,EVBG,EVBG US Equity,EVERBRIDGE INC,"4,246,360,320","233,935,000",-22.21,Information Technology,Software & Services,
-,SIGI,SIGI US Equity,SELECT INS GRP,"3,375,196,672","2,786,600,960",7.42,Financials,Insurance,
-,SIRI,SIRI US Equity,SIRIUS XM HOLDIN,"26,432,364,544","7,899,000,064",22.15,Communication Services,Media & Entertainment,
-,CDLX,CDLX US Equity,CARDLYTICS INC,"2,048,913,536","210,430,000",-8.23,Communication Services,Media & Entertainment,
-,INGN,INGN US Equity,INOGEN INC,"709,864,768","330,858,000",-3.28,Health Care,Health Care Equipment & Services,
-,BOMN,BOMN US Equity,BOSTON OMAHA -A,"435,425,536","45,041,596",-10.34,Communication Services,Media & Entertainment,
-,SITE,SITE US Equity,SITEONE LANDSCAP,"5,579,579,904","2,465,299,968",13.73,Industrials,Capital Goods,
-,HMTV,HMTV US Equity,HEMISPHERE MEDIA,"377,636,672","142,274,000",25.81,Communication Services,Media & Entertainment,
-,LASR,LASR US Equity,NLIGHT INC,"964,461,504","182,063,000",-11.60,Information Technology,Technology Hardware & Equipment,
-,SIX,SIX US Equity,SIX FLAGS ENTERT,"1,678,286,464","1,003,826,032",-582.59,Consumer Discretionary,Consumer Services,
-,INSP,INSP US Equity,INSPIRE MEDICAL,"2,894,943,744","81,298,000",-187.26,Health Care,Health Care Equipment & Services,
SJM,SJM,SJM US Equity,JM SMUCKER CO,"13,117,831,168","7,800,999,936",16.57,Consumer Staples,"Food, Beverage & Tobacco",
-,TARA,TARA US Equity,PROTARA THERAPEU,"148,861,584",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
SKX,SKX,SKX US Equity,SKECHERS USA-A,"4,789,860,352","4,656,546,944",-8.36,Consumer Discretionary,Consumer Durables & Apparel,
-,SKY,SKY US Equity,SKYLINE CHAMPION,"1,764,018,816","1,271,126,976",4.83,Consumer Discretionary,Consumer Durables & Apparel,
-,CHUY,CHUY US Equity,CHUY'S HOLDINGS,"384,740,480","371,326,000",6.17,Consumer Discretionary,Consumer Services,
-,LC,LC US Equity,LENDINGCLUB CORP,"419,080,448","926,177,992",-178.88,Financials,Diversified Financials,
-,VERO,VERO US Equity,VENUS CONCEPT IN,"96,630,424","52,600,000",-300.39,Health Care,Health Care Equipment & Services,
-,VRNS,VRNS US Equity,VARONIS SYSTEMS,"3,660,937,472","258,950,000",-33.19,Information Technology,Software & Services,
-,PLAY,PLAY US Equity,DAVE & BUSTER'S,"737,415,424","1,150,915,024",-38.43,Consumer Discretionary,Consumer Services,
-,SKYW,SKYW US Equity,SKYWEST INC,"1,567,665,408","2,583,860,960",-1.26,Industrials,Transportation,
-,NET,NET US Equity,CLOUDFLARE INC-A,"11,880,516,608","287,022,016",-37.61,Information Technology,Software & Services,
-,ARDX,ARDX US Equity,ARDELYX INC,"510,775,424","8,312,000",-1318.46,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,TLYS,TLYS US Equity,TILLY'S INC-CL A,"175,402,416","566,286,008",-36.75,Consumer Discretionary,Retailing,
-,ENTA,ENTA US Equity,ENANTA PHARMACEU,"966,072,320","150,155,000",-122.51,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
SLAB,SLAB,SLAB US Equity,SILICON LABS,"4,515,761,152","865,141,984",3.41,Information Technology,Semiconductors & Semiconductor Equipment,
-,CNCE,CNCE US Equity,CONCERT PHARMACE,"287,877,312","6,417,000",-205.61,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,RARE,RARE US Equity,ULTRAGENYX PHARM,"5,078,009,856","159,411,000",-102.18,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SLGN,SLGN US Equity,SILGAN HOLDINGS,"4,175,960,320","4,576,496,000",11.15,Materials,Materials,
-,PLAB,PLAB US Equity,PHOTRONICS INC,"785,500,096","596,878,992",8.90,Information Technology,Semiconductors & Semiconductor Equipment,
-,COHU,COHU US Equity,COHU INC,"781,999,360","568,514,000",-0.37,Information Technology,Semiconductors & Semiconductor Equipment,
-,QUOT,QUOT US Equity,QUOTIENT TECHNOL,"797,766,912","415,604,000",-18.87,Consumer Discretionary,Retailing,
-,SLM,SLM US Equity,SLM CORP,"2,750,478,336","2,584,868,032",-30.69,Financials,Diversified Financials,
-,CLVS,CLVS US Equity,CLOVIS ONCOLOGY,"431,312,736","159,361,000",-207.21,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MBII,MBII US Equity,MARRONE BIO INNO,"205,389,600","35,488,000",-58.63,Materials,Materials,
-,CERC,CERC US Equity,CERECOR INC,"194,740,128",,-1140.67,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MOBL,MOBL US Equity,MOBILEIRON INC,"683,768,512","214,912,000",-13.70,Information Technology,Software & Services,
-,SMCI,SMCI US Equity,SUPER MICRO COMP,"1,350,534,016","3,339,281,024",1.05,Information Technology,Technology Hardware & Equipment,
-,OOMA,OOMA US Equity,OOMA INC,"360,451,008","157,892,000",-2.84,Communication Services,Telecommunication Services,
-,RDUS,RDUS US Equity,RADIUS HEALTH IN,"564,174,080","200,467,000",-74.37,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EB,EB US Equity,EVENTBRITE INC-A,"884,882,048","326,800,992",-21.40,Communication Services,Media & Entertainment,
-,RM,RM US Equity,REGIONAL MANAGEM,"203,613,776","370,039,000",-11.46,Financials,Diversified Financials,
-,TRUE,TRUE US Equity,TRUECAR INC,"550,839,232","326,434,000",-17.07,Communication Services,Media & Entertainment,
-,SMG,SMG US Equity,SCOTTS MIRACLE,"8,923,011,072","3,739,000,032",19.06,Materials,Materials,
-,SMP,SMP US Equity,STANDARD MOTOR,"1,077,857,152","1,051,216,016",6.46,Consumer Discretionary,Automobiles & Components,
-,ORC,ORC US Equity,ORCHID ISLAND CA,"333,089,952","41,317,000",94.65,Financials,Diversified Financials,
-,SMPL,SMPL US Equity,SIMPLY GOOD FOOD,"2,333,940,992","733,538,976",14.46,Consumer Staples,"Food, Beverage & Tobacco",
-,SMTC,SMTC US Equity,SEMTECH CORP,"4,169,651,968","548,860,000",11.88,Information Technology,Semiconductors & Semiconductor Equipment,
-,YEXT,YEXT US Equity,YEXT INC,"1,949,496,064","315,472,000",-34.20,Information Technology,Software & Services,
-,CHEF,CHEF US Equity,CHEFS WAREHOUSE,"543,150,784","1,399,314,016",-12.67,Consumer Staples,Food & Staples Retailing,
-,BPMC,BPMC US Equity,BLUEPRINT MEDICI,"4,100,082,432","75,182,000",-1498.71,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SNA,SNA US Equity,SNAP-ON INC,"8,354,017,792","3,772,000,000",18.38,Industrials,Capital Goods,
-,IMUX,IMUX US Equity,IMMUNIC INC,"390,333,536",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SNBR,SNBR US Equity,SLEEP NUMBER COR,"1,283,667,456","1,673,448,000",-4.26,Consumer Discretionary,Retailing,
-,GPRO,GPRO US Equity,GOPRO INC-CL A,"752,841,728","913,159,992",-33.46,Consumer Discretionary,Consumer Durables & Apparel,
-,SNDR,SNDR US Equity,SCHNEIDER NATL-B,"4,690,624,512","4,492,100,096",6.14,Industrials,Transportation,
-,SNEX,SNEX US Equity,STONEX GROUP INC,"1,128,203,264","1,253,100,000",15.95,Financials,Diversified Financials,
SNPS,SNPS,SNPS US Equity,SYNOPSYS INC,"29,304,276,992","3,399,758,976",14.62,Information Technology,Software & Services,
SNX,SNX,SNX US Equity,SYNNEX CORP,"6,663,417,344","23,581,789,184",2.02,Information Technology,Technology Hardware & Equipment,
-,SON,SON US Equity,SONOCO PRODUCTS,"5,499,628,032","5,211,562,112",8.33,Materials,Materials,
-,AERI,AERI US Equity,AERIE PHARMACEUT,"576,778,944","81,575,000",-235.97,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SONO,SONO US Equity,SONOS INC,"1,550,898,816","1,280,651,008",-22.83,Consumer Discretionary,Consumer Durables & Apparel,
-,FIVN,FIVN US Equity,FIVE9 INC,"7,520,158,720","370,912,000",-8.25,Information Technology,Software & Services,
-,SPB,SPB US Equity,SPECTRUM BRANDS,"2,601,030,912","3,792,200,064",9.61,Consumer Staples,Household & Personal Products,
-,NVRO,NVRO US Equity,NEVRO CORP,"4,718,375,424","358,393,000",-62.71,Health Care,Health Care Equipment & Services,
-,FRGI,FRGI US Equity,FIESTA RESTAURAN,"230,493,760","592,277,008",-7.26,Consumer Discretionary,Consumer Services,
-,SPT,SPT US Equity,SPROUT SOCIAL-A,"1,543,396,352","116,502,000",-26.57,Information Technology,Software & Services,
-,BAND,BAND US Equity,BANDWIDTH INC-A,"3,433,704,960","267,802,000",-0.35,Communication Services,Telecommunication Services,
-,SPGI,SPGI US Equity,S&P GLOBAL INC,"84,154,793,984","7,153,000,064",56.87,Financials,Diversified Financials,
-,COUP,COUP US Equity,COUPA SOFTWARE I,"18,872,582,144","427,589,000",-4.72,Information Technology,Software & Services,
-,CTMX,CTMX US Equity,CYTOMX THERAPEUT,"326,579,040","85,192,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,XENT,XENT US Equity,INTERSECT ENT IN,"668,430,592","85,416,000",-215.66,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SIBN,SIBN US Equity,SI-BONE INC,"613,827,008","66,863,000",-72.17,Health Care,Health Care Equipment & Services,
SPLK,SPLK,SPLK US Equity,SPLUNK INC,"30,248,648,704","2,368,153,024",-66.49,Information Technology,Software & Services,
-,CARA,CARA US Equity,CARA THERAPEUTIC,"797,543,616","24,023,000",-459.42,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ADPT,ADPT US Equity,ADAPTIVE BIOTECH,"5,209,047,552","85,071,000",-92.15,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,LQDA,LQDA US Equity,LIQUIDIA TECHNOL,"211,399,392",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,LYRA,LYRA US Equity,LYRA THERAPEUTIC,"173,964,624",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KALA,KALA US Equity,KALA PHARMACEUTI,"511,826,560","4,535,000",-2554.62,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,RVNC,RVNC US Equity,REVANCE THERAPEU,"1,623,154,688","492,000",-19098.66,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,FBIO,FBIO US Equity,FORTRESS BIOTECH,"261,381,344","43,277,000",-268.54,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CFRX,CFRX US Equity,CONTRAFECT CORP,"146,500,880",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VCYT,VCYT US Equity,VERACYTE INC,"1,937,151,360","112,529,000",-53.38,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VSTM,VSTM US Equity,VERASTEM INC,"261,079,712","22,012,000",-493.71,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KPTI,KPTI US Equity,KARYOPHARM THERA,"1,091,151,360","82,897,000",-120.30,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CALA,CALA US Equity,CALITHERA BIOSCI,"289,996,288",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ICPT,ICPT US Equity,INTERCEPT PHARMA,"1,762,494,208","283,351,000",-67.35,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,DRNA,DRNA US Equity,DICERNA PHARMACE,"1,466,098,560","89,591,000",-82.81,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,XFOR,XFOR US Equity,X4 PHARMACEUTICA,"138,791,408","3,000,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PFNX,PFNX US Equity,PFENEX INC,"442,083,072","38,616,000",-1322.54,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,OCUL,OCUL US Equity,OCULAR THERAPEUT,"518,773,920","7,263,000",-1139.83,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,GLYC,GLYC US Equity,GLYCOMIMETICS IN,"178,967,744","9,000,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NTRA,NTRA US Equity,NATERA INC,"4,273,199,616","341,633,000",-59.74,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NGM,NGM US Equity,NGM BIOPHARMACEU,"1,274,001,664","96,770,000",-129.25,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,IRTC,IRTC US Equity,IRHYTHM TECHNOLO,"4,919,439,360","228,190,000",-39.63,Health Care,Health Care Equipment & Services,
-,SELB,SELB US Equity,SELECTA BIOSCIEN,"276,965,728","6,654,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SPOT,SPOT US Equity,SPOTIFY TECHNOLO,"47,054,790,656","7,323,000,064",-8.84,Communication Services,Media & Entertainment,
-,THR,THR US Equity,THERMON GROUP HO,"476,630,688","348,622,000",-11.88,Industrials,Capital Goods,
-,SPR,SPR US Equity,SPIRIT AEROSYS-A,"2,344,853,248","5,601,099,968",-56.93,Industrials,Capital Goods,
-,FRPT,FRPT US Equity,FRESHPET INC,"4,153,108,224","281,095,544",0.29,Consumer Staples,"Food, Beverage & Tobacco",
-,MRSN,MRSN US Equity,MERSANA THERAPEU,"1,244,470,656","1,693,000",-2485.93,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NDLS,NDLS US Equity,NOODLES & CO,"365,483,648","412,680,000",-15.63,Consumer Discretionary,Consumer Services,
-,SPWR,SPWR US Equity,SUNPOWER CORP,"2,025,722,624","1,881,823,040",-10.67,Information Technology,Semiconductors & Semiconductor Equipment,
-,SREV,SREV US Equity,SERVICESOURCE IN,"155,855,488","206,018,000",-11.59,Information Technology,Software & Services,
-,SPXC,SPXC US Equity,SPX CORP,"2,038,769,536","1,551,900,000",9.22,Industrials,Capital Goods,
-,APPN,APPN US Equity,APPIAN CORP,"3,554,011,136","283,644,000",-18.11,Information Technology,Software & Services,
-,SQ,SQ US Equity,SQUARE INC - A,"61,659,783,168","5,884,636,928",-1.20,Information Technology,Software & Services,
-,ASPU,ASPU US Equity,ASPEN GROUP INC,"222,854,752","49,061,080",-2.41,Consumer Discretionary,Consumer Services,
-,MDLA,MDLA US Equity,MEDALLIA INC,"4,315,760,640","421,535,000",-29.07,Information Technology,Software & Services,
-,MJCO,MJCO US Equity,MAJESCO,"700,107,904","150,388,000",5.10,Information Technology,Software & Services,
-,SRCL,SRCL US Equity,STERICYCLE INC,"5,977,491,968","3,016,200,064",4.16,Industrials,Commercial & Professional Services,
-,QADA,QADA US Equity,QAD INC-A,"829,232,640","306,884,000",-1.26,Information Technology,Software & Services,
-,SSD,SSD US Equity,SIMPSON MFG,"4,473,986,048","1,182,186,000",22.15,Industrials,Capital Goods,
-,SSNC,SSNC US Equity,SS&C TECHNOLOGIE,"15,954,490,368","4,659,399,936",21.20,Information Technology,Software & Services,
-,TCMD,TCMD US Equity,TACTILE SYSTEMS,"719,251,776","185,470,000",-22.67,Health Care,Health Care Equipment & Services,
-,TNDM,TNDM US Equity,TANDEM DIABETES,"5,922,513,408","410,217,000",-11.02,Health Care,Health Care Equipment & Services,
-,SSTK,SSTK US Equity,SHUTTERSTOCK INC,"1,753,906,432","645,965,008",14.16,Consumer Discretionary,Retailing,
-,SIEN,SIEN US Equity,SIENTRA INC,"193,701,312","83,699,000",-123.74,Health Care,Health Care Equipment & Services,
-,ISEE,ISEE US Equity,IVERIC BIO INC,"393,812,768",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,NSTG,NSTG US Equity,NANOSTRING TECHN,"1,418,018,816","116,744,000",-105.11,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PHR,PHR US Equity,PHREESIA INC,"1,117,504,896","129,870,168",-14.87,Health Care,Health Care Equipment & Services,
-,ST,ST US Equity,SENSATA TECHNOLO,"6,569,921,536","3,047,180,032",-0.32,Industrials,Capital Goods,
-,ACRX,ACRX US Equity,ACELRX PHARMA,"110,195,456","4,393,000",-233.72,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PBYI,PBYI US Equity,PUMA BIOTECHNOLO,"393,593,632","241,069,000",10.06,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,MEC,MEC US Equity,MAYVILLE ENGINEE,"175,118,480","402,029,000",1.44,Industrials,Capital Goods,
STAY,STAY,STAY US Equity,EXTENDED STAY AM,"2,250,591,232","1,114,028,016",8.01,Consumer Discretionary,Consumer Services,
-,STE,STE US Equity,STERIS PLC,"13,651,873,792","3,003,023,936",17.04,Health Care,Health Care Equipment & Services,
-,PCRX,PCRX US Equity,PACIRA BIOSCIENC,"2,616,676,096","408,298,000",-9.47,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,KE,KE US Equity,KIMBALL ELECTRON,"360,567,040","1,233,014,976",3.60,Information Technology,Technology Hardware & Equipment,
-,CMRE,CMRE US Equity,COSTAMARE INC,"631,362,176","481,372,000",-57.06,Industrials,Transportation,
-,VCRA,VCRA US Equity,VOCERA COMMUNICA,"962,287,488","188,453,000",-4.91,Health Care,Health Care Equipment & Services,
-,XGN,XGN US Equity,EXAGEN INC,"185,308,400","39,185,000",-38.19,Health Care,Health Care Equipment & Services,
-,STLD,STLD US Equity,STEEL DYNAMICS,"6,453,992,448","9,566,740,736",7.58,Materials,Materials,
-,STMP,STMP US Equity,STAMPS.COM INC,"4,684,271,616","655,150,000",29.60,Consumer Discretionary,Retailing,
-,STNE,STNE US Equity,STONECO LTD-A,"13,655,483,392","2,575,968,000",56.09,Information Technology,Software & Services,
-,STRA,STRA US Equity,STRATEGIC EDUCAT,"2,859,143,168","1,026,652,016",18.14,Consumer Discretionary,Consumer Services,
-,STT,STT US Equity,STATE ST CORP,"25,082,640,384","12,899,000,064",27.34,Financials,Diversified Financials,
-,USCR,USCR US Equity,US CONCRETE INC,"492,151,808","1,435,200,000",6.69,Materials,Materials,
-,STWD,STWD US Equity,STARWOOD PROPERT,"4,670,792,192","1,515,832,016",49.47,Financials,Diversified Financials,
-,STZ,STZ US Equity,CONSTELLATION-A,"33,877,422,080","8,209,699,840",31.07,Consumer Staples,"Food, Beverage & Tobacco",
-,SUM,SUM US Equity,SUMMIT MATERIA-A,"2,000,466,688","2,286,809,024",15.86,Materials,Materials,
-,AYX,AYX US Equity,ALTERYX INC -A,"7,133,151,232","464,911,000",-18.49,Information Technology,Software & Services,
-,SWBI,SWBI US Equity,SMITH & WESSON B,"1,390,018,304","678,386,008",-28.14,Consumer Discretionary,Consumer Durables & Apparel,
-,ASMB,ASMB US Equity,ASSEMBLY BIOSCIE,"683,382,208","52,455,000",16.71,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EPZM,EPZM US Equity,EPIZYME INC,"1,292,833,152","13,830,000",-2333.44,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,TPB,TPB US Equity,TURNING POINT BR,"576,081,216","372,674,000",16.52,Consumer Staples,"Food, Beverage & Tobacco",
-,SWI,SWI US Equity,SOLARWINDS CORP,"6,125,865,984","980,950,016",14.28,Information Technology,Software & Services,
-,XLRN,XLRN US Equity,ACCELERON PHARMA,"5,522,489,344","87,642,000",-47.58,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VRA,VRA US Equity,VERA BRADLEY INC,"152,972,288","473,493,008",-36.91,Consumer Discretionary,Consumer Durables & Apparel,
-,STRO,STRO US Equity,SUTRO BIOPHARMA,"320,040,800","40,203,000",-268.18,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SWK,SWK US Equity,STANLEY BLACK &,"25,603,371,008","13,624,100,096",5.27,Industrials,Capital Goods,
-,AKBA,AKBA US Equity,AKEBIA THERAPEUT,"1,504,832,768","340,152,000",-192.83,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ARAV,ARAV US Equity,ARAVIVE INC,"93,385,736",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,SNDX,SNDX US Equity,SYNDAX PHARMACEU,"585,947,840","1,517,000",-3984.17,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,RETA,RETA US Equity,REATA PHARMACE-A,"3,471,664,384","15,340,000",-1646.40,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CMRX,CMRX US Equity,CHIMERIX INC,"182,246,688","11,368,000",-733.67,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
